case_id,N,L,off,K_active,seed,sample_id,h1_raw,h2_raw,hidden_raw,ours_raw,h1_db,h2_db,hidden_db,ours_db,ours_method,used_greedy,used_rescue,delta_db_ours_minus_hidden
69,1000,2,0.25,750,42,10,73628833.89159262,61500701.78549916,176136993.5096599,176750678.36950386,78.67047922323002,77.88880071545024,82.45850579078231,82.4736108929534,H3-hidden+swap,False,False,0.01510510217109129
70,1000,2,0.5,500,42,10,33090222.73027296,26257844.89715069,52468589.38376234,69787781.51517949,75.19699690405636,74.19259078658138,77.19899388362944,78.43779392751625,H1+swap,False,False,1.2388000438868119
71,1000,2,0.25,750,42,11,38110540.1151025,31603150.114638254,108920818.09332438,112178769.5564035,75.81045103779945,74.99730374049398,80.37110894622408,80.49910672098932,H3-hidden+swap,False,False,0.12799777476523388
72,1000,2,0.5,500,42,11,17316029.58765493,13721608.01583823,34977899.54129249,46239850.355417445,72.38448319214595,71.37405008709239,75.43793726097049,76.65016419921089,H1+swap,False,False,1.2122269382404056
73,1000,2,0.25,750,42,12,152701277.5891303,128998569.07592218,223544632.15902713,224022325.8823119,81.83842670635913,81.10584892889344,83.49364245880619,83.5029130192491,H3-hidden+swap,False,False,0.009270560442914189
74,1000,2,0.5,500,42,12,69707680.84091918,55740260.61454836,70617294.3054721,98403354.2495279,78.43280634095768,77.46168994933362,78.4891107359646,79.93009902366636,H1+swap,False,False,1.4409882877017566
75,1000,2,0.25,750,42,13,65311153.092402466,58312513.84223715,135621474.03767753,135935309.4372685,78.14987351457079,77.65761764183506,81.32328460310498,81.33332280146662,H3-hidden+swap,False,False,0.010038198361641548
76,1000,2,0.5,500,42,13,31049418.866846114,26309442.972409748,40210410.893910415,42342742.2896281,74.92053476162073,74.2011165323319,76.04338511005079,76.26778981285818,H1+swap,False,False,0.22440470280739078
77,1000,2,0.25,750,42,14,113839848.3028765,89445839.72406398,190771571.45178935,191762988.78049403,80.56294308358136,79.51560145608815,82.80513657152717,82.8276478990733,H3-hidden+swap,False,False,0.022511327546126836
78,1000,2,0.5,500,42,14,51759465.60994867,37420464.06992927,60589662.20699497,80340525.2785797,77.13989783815039,75.73109169100917,77.82398531271129,79.04934666888344,H1+swap,False,False,1.225361356172158
79,1000,2,0.25,750,42,15,83229917.55439793,62498100.51160193,153712967.6896792,167769977.82291746,79.20279464431245,77.95866818146224,81.86710507437978,82.2471424712213,H2+swap,False,False,0.38003739684151583
80,1000,2,0.5,500,42,15,38307072.26757533,26328832.370966017,48636465.021036975,73631821.32031615,75.83278960998366,74.2043159947483,76.86962002168313,78.6706554310308,H2+swap,False,False,1.8010354093476622
81,1000,2,0.25,750,42,16,46430203.647798225,35349795.24229847,130837610.71004696,131926100.21843822,76.66800588532016,75.48386902562976,81.16732604660244,81.20330724731323,H1+swap,False,False,0.03598120071079336
